Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
CW16800-A,ATI,Wonder,,1986-08-04,,,800,90.0,,0.02,10.0,10.0,,3.2e-05,DRAM,
CW16800-A,ATI,Wonder,,1986-09-22,,,800,90.0,,0.02,10.0,10.0,,6.4e-05,DRAM,
18800-1,ATI,Wonder,NEC,1988-01-01,,,800,90.0,,0.032,25.0,25.0,,0.00025,DRAM,
CW16800-B,ATI,Wonder,,1987-03-23,,,800,90.0,,0.02,10.0,10.0,,6.4e-05,DRAM,
CHIPS P82C441,ATI,Wonder,,1987-09-28,,,800,,,0.04,10.0,10.0,,0.00025,DRAM,
CHIPS P82C435,ATI,Wonder,,1988-12-26,,,800,,,0.032,10.0,10.0,,0.00025,DRAM,
18800-1,ATI,Wonder,NEC,1990-02-05,,,800,90.0,,0.04,10.0,10.0,,0.00025,DRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,VRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,VRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.002,DRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,DRAM,
28800-6,ATI,Wonder,NEC,1992-03-16,,,800,90.0,,0.04,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.664,66.0,66.0,,0.001,DRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,VRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,VRAM,
GTE,Sony,,Sony,1994-12-03,0.001,11,600,128.0,,0.132,53.0,53.0,0.0078,0.001,VRAM,
NV1,NVIDIA,,ST,1995-09-30,0.001,2,500,135.0,,0.48,75.0,75.0,0.0074,0.002,EDO,
NV1,NVIDIA,,ST,1995-09-30,0.001,2,500,135.0,,0.4,75.0,75.0,0.0074,0.001,FPM,
Mach64,ATI,Mach,,1995-01-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,VRAM,
Mach64,ATI,Mach,,1995-11-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,EDO,
